Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
"brookdale senior living communities, inc. d/b/a sterling house of niagara",brookdale senior living,18794,0,18794,2017,2017-01-27,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,03-CA-173607,,,New York,North Tonawanda,,,,,USA,Tennessee,publicly traded,healthcare services,healthcare services,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,,,,,2017-01-01
centene corporation,centene,31950,0,31950,2017,2017-01-12,Medicare Parts C and D Enforcement Action,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Missouri,publicly traded,healthcare services,managed care,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Centene_Corporation_CMP_1-12-17.pdf,,,,,,2017-01-01
charles river laboratories international inc.,charles river laboratories,1800000,0,1800000,2017,2017-03-13,False Claims Act,,Charles River Laboratories International Inc. agreed to pay the U.S. government $1.8 million to settle claims that it violated the False Claims Act by improperly charging for labor and other associated costs that were not actually provided on certain National Institutes of Health contracts. ,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Massachusetts,publicly traded,healthcare services,pharmaceutical services,https://www.justice.gov/opa/pr/charles-river-laboratories-international-inc-agrees-pay-united-states-18-million-settle-false,,,,,,2017-01-01
christus health plan,christus health,7080,0,7080,2017,2017-06-21,Medicare Parts C and D Enforcement Action,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,Texas,non-profit,healthcare services,hospitals,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/CHRISTUS_CMP_6-21-17.pdf,,,,,,2017-01-01
genesis healthcare inc.,genesis healthcare,53639288,0,53639288,2017,2017-06-16,False Claims Act,,"Genesis Healthcare Inc. agreed to pay the federal government $53,639,288.04, including interest, to settle six federal lawsuits and investigations alleging that companies and facilities acquired by Genesis violated the False Claims Act by causing the submission of false claims to government health care programs for medically unnecessary therapy and hospice services, and grossly substandard nursing care.",federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Pennsylvania,publicly traded,healthcare services,skilled nursing facilities,https://www.justice.gov/opa/pr/genesis-healthcare-inc-agrees-pay-federal-government-536-million-resolve-false-claims-act,,,,,,2017-01-01
hartford hospital,hartford healthcare,2469374,0,2469374,2017,2017-04-18,HHS civil monetary penalties,,"Hartford Hospital entered into a $2,469,374 settlement agreement to resolve allegations that it submitted claims in which patients who received home health services within three days of the patients' release from Hartford were improperly coded as discharged rather than as a post-acute care transfer.",federal,agency action,Health & Human Services Department Office of Inspector General,,civil,,,,,Connecticut,Hartford,,,,,USA,Connecticut,non-profit,healthcare services,healthcare services,https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp,,,,,,2017-01-01
inova health system,inova health system,156497,0,156497,2017,2017-03-17,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,05-CA-035104,,,Virginia,Falls Church,,,,,USA,Virginia,non-profit,healthcare services,hospitals,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,,,,,2017-01-01
kaiser foundation health system inc.,kaiser permanente,850000,0,850000,2017,2017-02-09,Controlled Substances Act violation,,"Kaiser Foundation Health System Inc. paid $850,000 to settle allegations that a Kaiser Permanente pharmacy in Modesto violated the Controlled Substances Act by improperly filling defective prescriptions and by failing to maintain accurate records.",federal,agency action,Drug Enforcement Administration,,civil,,,,,,,,,,,USA,California,non-profit,healthcare services,healthcare services,https://www.dea.gov/divisions/sf/2017/sf020917a.shtml,,,,,,2017-01-01
laboratory corporation of america,laboratory corp. of america,6964,0,6964,2017,2017-02-15,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,16-CA-185291,,,Texas,Houston,,,,,USA,North Carolina,publicly traded,healthcare services,healthcare services,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,,,,,2017-01-01
mercy hospital springfield f/k/a st. john's regional health center andmercy clinic springfield communities f/k/a st. john's clinic,mercy (sisters of mercy health system),34000000,0,34000000,2017,2017-05-18,False Claims Act,kickbacks and bribery,"Two Southwest Missouri health care providers agreed to pay the United States $34,000,000 to settle allegations that they violated the False Claims Act by engaging in improper financial relationships with referring physicians.",federal,agency action,Justice Department Civil Division,,civil,,,,,Missouri,Springfield,,,,,USA,Missouri,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/missouri-hospitals-agree-pay-united-states-34-million-settle-alleged-false-claims-act,,,,,,2017-01-01
