Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
signature healthcare of south pittsburg rehab & we,signature healthcare,7800,0,7800,2016,2016-04-27,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,SOUTH PITTSBURG,201 EAST 10TH STREET,37380,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare at jackson manor rehab & well,signature healthcare,8458,0,8458,2016,2016-11-16,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,ANNVILLE,96 HIGHWAY 3444,40402,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of fort wayne,signature healthcare,10431,0,10431,2016,2016-11-21,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Indiana,FORT WAYNE,6006 BRANDY CHASE COVE,46815,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of warren,signature healthcare,25545,0,25545,2016,2016-02-29,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Ohio,WARREN,2473 NORTH RD NE,44483,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of trimble county,signature healthcare,28795,0,28795,2016,2016-08-18,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,BEDFORD,50 SHEPHERD LANE,40006,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare at st peter villa,signature healthcare,32869,0,32869,2016,2016-10-13,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,MEMPHIS,141 N MCLEAN,38104,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of georgetown,signature healthcare,47938,0,47938,2016,2016-06-02,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,GEORGETOWN,102 POCAHONTAS TRAIL,40324,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of mccreary county rehab & we,signature healthcare,52333,0,52333,2016,2016-04-12,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,PINE KNOT,58 CAL HILL ROAD,42635,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of rockwood rehab & wellness,signature healthcare,58302,0,58302,2016,2016-09-08,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,ROCKWOOD,5580 ROANE STATE HWY,37854,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of brookwood gardens,signature healthcare,79181,0,79181,2016,2016-08-03,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Florida,HOMESTEAD,1990 S CANAL DRIVE,33035,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
